"model","ens","year","p_e","p_e_ano","pr","pr_ano","gmst_ano"
"UKESM1","r17i1p1f2",2012,-1.14014206628781,-0.168990357942675,1.28714545571711,-0.231895030701708,0.574214680989598
"UKESM1","r17i1p1f2",2013,-0.553497299551964,0.417654408793169,1.88257031841204,0.363529831993219,0.611385091145848
"UKESM1","r17i1p1f2",2014,-1.49194083642215,-0.520789128077013,0.827444245805964,-0.691596240612853,0.648524983723973
"UKESM1","r17i1p1f2",2015,-0.806568906409666,0.164582801935467,1.60500160418451,0.0859611177656916,0.737209065755223
"UKESM1","r17i1p1f2",2016,-0.527512037660927,0.443639670684206,1.64706424693577,0.128023760516953,0.782558186848973
"UKESM1","r17i1p1f2",2017,-1.30540312675294,-0.334251418407803,1.15990313643124,-0.359137349987577,0.828395589192723
"UKESM1","r17i1p1f2",2018,-1.22667709656525,-0.255525388220121,1.19915464601945,-0.319885840399365,0.874782307942723
"UKESM1","r17i1p1f2",2019,-0.993135847966187,-0.0219841396210541,1.31669480761047,-0.202345678808342,0.921291097005223
"UKESM1","r17i1p1f2",2020,-0.909282371867448,0.0618693364776846,1.6530119930394,0.133971506620583,0.968227132161473
"UKESM1","r17i1p1f2",2021,-1.33341505425051,-0.362263345905376,1.15124452568125,-0.367795960737567,1.01424763997397
"UKESM1","r17i1p1f2",2022,-1.26046742952894,-0.289315721183812,0.776813438278623,-0.742227048140194,1.05984090169272
"UKESM1","r17i1p1f2",2023,-1.12139389675576,-0.15024218841063,1.03324639785569,-0.485794088563125,1.10824178059897
"UKESM1","r17i1p1f2",2024,-0.816969643346965,0.154182064998167,1.78641579695977,0.267375310540956,1.15847371419272
"UKESM1","r17i1p1f2",2025,-0.858209392754361,0.112942315590772,1.52864822885022,0.00960774243139895,1.21108601888022
"UKESM1","r17i1p1f2",2026,-1.13608205574565,-0.164930347400514,1.32121026981622,-0.197830216602597,1.26736043294272
"UKESM1","r17i1p1f2",2027,-1.29363870655652,-0.322486998211389,0.82191226829309,-0.697128218125727,1.32424519856772
"UKESM1","r17i1p1f2",2028,-1.2299076130148,-0.25875590466967,1.17609155131504,-0.342948935103777,1.3804890950521
"UKESM1","r17i1p1f2",2029,-1.26284880680032,-0.291697098455188,0.896511651808396,-0.622528834610421,1.4361531575521
"UKESM1","r17i1p1f2",2030,-0.678143324330449,0.293008384014684,1.78072092239745,0.261680435978633,1.4924275716146
