"model","ens","year","p_e","p_e_ano","pr","pr_ano","gmst_ano"
"CanESM5","r9i1p2f1",2040,1.50283018592745,2.51290256454377,5.25964224943891,2.41224182570586,2.01911926269531
"CanESM5","r9i1p2f1",2041,-0.193803641013801,0.816268737602513,4.09982594428584,1.25242552055279,2.06431579589844
"CanESM5","r9i1p2f1",2042,1.24476165510714,2.25483403372345,5.00759077258408,2.16019034885103,2.11128234863281
"CanESM5","r9i1p2f1",2043,0.403185677714646,1.41325805633096,4.50768809532747,1.66028767159442,2.16294860839844
"CanESM5","r9i1p2f1",2044,-2.18045660876669,-1.17038423015038,2.10642575402744,-0.740974669705611,2.21882629394531
"CanESM5","r9i1p2f1",2045,0.628712202887982,1.6387845815043,4.65207287343219,1.80467244969914,2.27455139160156
"CanESM5","r9i1p2f1",2046,-2.23753265454434,-1.22746027592802,2.39302586414851,-0.454374559584539,2.32756042480469
"CanESM5","r9i1p2f1",2047,-3.18963141180575,-2.17955903318943,1.41611630679108,-1.43128411694197,2.38337707519531
"CanESM5","r9i1p2f1",2048,-2.02483342727646,-1.01476104866015,1.6715997015126,-1.17580072222045,2.44560241699219
"CanESM5","r9i1p2f1",2049,-1.94113624747843,-0.931063868862111,2.99076279625297,0.143362372519914,2.51292419433594
"CanESM5","r9i1p2f1",2050,-0.466990086715668,0.543082291900646,4.1816673707217,1.33426694698865,2.58180236816406
"CanESM5","r9i1p2f1",2051,0.0296005862765014,1.03967296489282,4.30894300807267,1.46154258433962,2.64485168457031
"CanESM5","r9i1p2f1",2052,-1.79215090465732,-0.782078526041005,2.32106764451601,-0.526332779217046,2.69752502441406
"CanESM5","r9i1p2f1",2053,-1.66423515183851,-0.654162773222197,3.52506197523326,0.677661551500205,2.74241638183594
"CanESM5","r9i1p2f1",2054,-1.17971693398431,-0.169644555367995,3.01622817059979,0.168827746866737,2.78962707519531
"CanESM5","r9i1p2f1",2055,-0.677889352664351,0.332183025951963,3.7874492816627,0.940048857929651,2.84696960449219
"CanESM5","r9i1p2f1",2056,0.416317081544548,1.42638946016086,4.68480598647147,1.83740556273842,2.91233825683594
"CanESM5","r9i1p2f1",2057,-1.06813159072772,-0.0580592121114023,3.06015741080046,0.212756987067405,2.97981262207031
"CanESM5","r9i1p2f1",2058,-2.42964053177275,-1.41956815315643,2.17476582038216,-0.672634603350889,3.04960632324219
"CanESM5","r9i1p2f1",2059,-2.37248401972465,-1.36241164110834,2.5072276184801,-0.34017280525295,3.11671447753906
"CanESM5","r9i1p2f1",2060,-2.45019212015904,-1.44011974154273,2.03461432247423,-0.812786101258825,3.17179870605469
"CanESM5","r9i1p2f1",2061,-1.27503300318494,-0.26496062456863,2.84947094041854,0.00207051668548974,3.22148132324219
"CanESM5","r9i1p2f1",2062,-1.71576091088355,-0.705688532267231,2.67951486166567,-0.167885562067386,3.27857971191406
